What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,birth_day,birth_month,birth_year,Give a random number,bedtime,good_day_1,good_day_2
Artificial Intelligence,no,1,mu,ja,male,I have no idea what you are talking about,NA,NA,NA,18,01:00,sunshine,no school 
Econometrics ,no,0,mu,nee,male,fat,22,11,1991,2,02:00,free time,money
Artificial Intelligence,yes,1,mu,ja,male,fat,23,1,NA,No,01:00,not coming to vu,sushi
Bioinformatics,yes,1,mu,ja,male,unknown,12,9,1994,1,02:00,get satisfaction at work,food
Artificial Intelligence,yes,0,mu,ja,female,I have no idea what you are talking about,10,9,1995,7,22:00,good weather,good coffee
Econometrics,no,0,mu,nee,male,I have no idea what you are talking about,21,12,NA,0,NA,fox news,sleep well
Artificial Intelligence,no,1,mu,unknown,female,I have no idea what you are talking about,28,1,NA,7,23:03,sunshine,pizza
Computational Science,no,unknown,sigma,nee,female,fat,2,7,NA,3,23:00,beer,not studying
Artificial Intelligence,no,0,sigma,ja,male,I have no idea what you are talking about,30,12,1991,5,23:59,fun,a good book
Computational Science,no,0,mu,ja,female,slim,5,8,1995,7,01:30,no rain,food
Business Analytics,yes,0,mu,ja,female,fat,27,9,1992,7,22:10,food,fun
Computational Science,no,0,mu,nee,female,slim,8,8,1993,1,00:30,kind people around me ,good coffee
Artificial Intelligence,no,0,sigma,nee,female,neither,10,3,1995,9,01:00,sunshine,good coffee
Artificial Intelligence,no,0,mu,ja,male,I have no idea what you are talking about,2,9,1990,7,01:15,puppies,good weather
Artificial Intelligence,no,0,mu,ja,female,I have no idea what you are talking about,11,11,NA,8,23:15,laughing,no stress
Econometrics and operations research,no,1,mu,nee,male,fat,31,8,1994,8,12:00,beer,lunch
NA,unknown,0,mu,nee,male,neither,5,2,1988,3,23:58,productive,a day with company
Business Analytics ,yes,1,mu,ja,male,neither,19,4,NA,4,01:12,food,all grades
Bioinformatics,no,0,sigma,ja,female,fat,5,10,1987,13,01:30,sunshine,beer
Human Movement Science,no,0,mu,nee,female,I have no idea what you are talking about,28,5,1992,8,00:30,good coffee,sunshine
Business Analytics,yes,0,mu,nee,male,fat,29,7,NA,3,23:30,beer,food
Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,27,3,NA,4,04:00,sex,no worries
Finance,no,0,mu,ja,male,fat,3,4,1994,5,01:00,food,netflix
Business Analytics,yes,1,mu,ja,male,fat,7,5,1994,9,00:30,food,sleep well
Quantitative Risk Management,no,0,mu,nee,male,fat,28,6,NA,7,00:30,good weather,winning the lotery
Artificial Intelligence,yes,1,mu,ja,female,neither,27,6,1995,5,01:00,food,sleep well
PHD,yes,0,mu,ja,male,fat,2,9,1990,3,23:00,sex,video games
Bioinformatics,yes,0,sigma,ja,female,neither,25,12,1994,1,00:00,beer,free time
PHD,no,0,mu,nee,female,fat,30,3,NA,6,22:30,sleep,sunshine
Bioinformatics,yes,1,mu,ja,female,neither,21,11,1993,1,23:30,chocolate,good weather
Bioinformatics ,yes,0,mu,nee,female,fat,12,4,1994,8,00:00,food,beer
Business Analytics,yes,1,mu,ja,male,slim,24,8,1992,3,00:30,sex,sleep
Computer Science,no,0,mu,ja,male,slim,7,11,NA,2,22:00,food,sleep
Bioinformatics,no,0,mu,ja,male,slim,5,2,1990,5,02:00,music,challenge 
Econometrics,yes,1,mu,ja,male,I have no idea what you are talking about,9,9,1994,7,23:30,mac donalds,sleep
Computer Science,yes,0,mu,ja,male,neither,18,9,NA,7,02:00,achieving something,achieving something
Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,17,8,NA,2,23:00,beer,sleep well
Econometrics,no,0,mu,nee,female,I have no idea what you are talking about,NA,2,NA,1,22:30,good coffee,laughing
Big Data Engineering,no,0,mu,ja,male,fat,19,6,NA,9,02:00,sunshine,no stress
Artificial Intelligence,yes,0,mu,nee,female,I have no idea what you are talking about,22,12,1993,8,22:45,sunshine,good coffee
Computer Science,yes,1,mu,ja,male,fat,11,6,1993,8,23:00,food,sleep
Computational Science,yes,1,mu,nee,male,neither,17,5,1994,7,01:30,good coffee,no homework
Artificial Intelligence,yes,1,mu,nee,male,neither,15,1,1993,8,00:00,beer,good coffee
Bioinformatics,yes,0,sigma,nee,female,slim,20,2,1995,33,00:00,sleep,food
Artificial Intelligence   ,no,0,mu,nee,male,neither,17,3,1992,7.44,01:00,saturday,sunshine
Big Data Engineering,no,0,mu,ja,male,neither,14,1,1992,46371646292,01:48,good fuckin breakfast,completing my task
Artificial Intelligence,no,1,mu,ja,female,neither,NA,NA,1991,9,03:00,sunshine,no work appointments
Bioinformatics,yes,0,mu,nee,male,fat,10,9,1996,2,02:00,good weather,no lecture at 9
